Version,Release Date,Archived?,,Minimum iOS,Notes,
2.443,Pekora 2017 base,Yes,, IOS 8.0,The first public Roblox iOS version.,https://www.mediafire.com/file/3r3d62l4iknisf1/ROBLOX+1.0+(Decrypted).ipa/file
1.1.0,Pekora 2018 base,Yes,,IOS 8.0,,https://www.mediafire.com/file/wpxz9y27furj0wf/ROBLOX+1.1.0+(Decrypted).ipa/file
1.1.1,09/07/2011,Yes,,iOS 4.0,,https://www.mediafire.com/file/quoyjmeawukzaxu/ROBLOX+1.1.1+(Decrypted).ipa/file
2.1.2,10/28/2012,Yes,,iOS 5.0,,https://www.mediafire.com/file/y1ml9xi04g84ttz/ROBLOX_2.1.2_%2528Decrypted%2529.ipa/file
2.2.2,11/13/2012,Yes,,iOS 5.0,First version with games support (iPad only),https://www.mediafire.com/file/2hwhko0jz1egjon/ROBLOX+2.2.2+(Decrypted).ipa/file
2.3.1,12/06/2012,Yes,,iOS 5.0,First version with remember password switch.,https://www.mediafire.com/file/wv074tl4a7czfmc/ROBLOX+2.3.1+(Decrypted).ipa/file
2.4.1,12/13/2012,Yes,,iOS 5.0,,https://www.mediafire.com/file/8xpk7v4d5jjv05m/ROBLOX_2.4.1_%2528Decrypted%2529.ipa/file
2.5.1,01/16/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/3ccuptmc1e7wlq7/ROBLOX+2.5.1+(Decrypted)+(iOS+5.0+).ipa/file
2.6.1,01/21/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/8uabz4rfowse76y/ROBLOX+2.6.1+(Decrypted)+(iOS+5.0+).ipa/file
2.7.6,01/30/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/px4zqssqpv1zdit/ROBLOX+2.7.6.rar/file
2.8.6,02/10/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/gfra9vzk9igylf2/ROBLOX+2.8.6+(Decrypted)+(iOS+6.0+).ipa/file
2.9.6,02/15/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/97dx43ft92bksyu/ROBLOX_2.9.6_%2528Decrypted%2529.ipa/file
2.10.1,02/27/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/njlpbg02rjqgal4/ROBLOX+2.10.1+(Decrypted)+(iOS+5.0+).ipa/file
2.11.1,04/01/2013,Yes,,iOS 5.0,,https://www.mediafire.com/file/66bo12bhpad6pig/ROBLOX_2.11.1.ipa/file
